t,count
1757643744.9194157,12
1757643745.320831,13
1757643745.670752,13
1757643745.992866,13
1757643746.2351935,13
1757643746.5692384,13
1757643746.7404282,13
1757643746.941492,12
1757643747.2464669,12
1757643747.5993352,12
1757643747.893682,12
1757643748.1190815,12
1757643748.3345194,12
1757643748.606303,12
1757643748.8676937,12
1757643749.1736157,12
1757643749.5038183,12
1757643749.6594346,12
1757643749.830098,13
1757643750.1767616,12
1757643750.4406285,14
1757643750.6321762,14
1757643750.867136,14
1757643751.0761354,14
1757643751.2666605,14
1757643751.455235,14
1757643751.6532702,13
1757643751.8543284,13
1757643752.1698153,13
1757643752.3783598,13
1757643752.5604672,13
1757643752.758997,13
1757643752.9398282,13
1757643753.1720996,13
1757643753.5512292,13
1757643753.75624,12
1757643753.9866924,12
1757643754.1737013,12
1757643754.5100358,12
1757643754.7723765,13
1757643755.0137322,14
1757643755.2411425,14
1757643755.4505827,14
1757643755.6334784,13
1757643755.804086,13
1757643755.9861736,13
1757643756.1662254,13
1757643756.3552694,13
1757643756.5782816,12
1757643756.794232,13
1757643757.0232062,13
1757643757.31706,13
1757643757.564949,12
1757643757.8667352,13
1757643758.1390977,13
1757643758.4408932,13
1757643758.664869,13
1757643758.8748906,13
1757643759.124298,13
1757643759.3243675,13
1757643759.5423682,13
1757643759.7618234,13
1757643760.013217,13
1757643760.2771516,13
1757643760.5649805,13
1757643760.9092925,13
1757643761.139389,13
1757643761.365107,13
1757643761.6264682,12
1757643761.8955512,13
1757643762.2958343,13
1757643762.5622892,12
1757643762.7300563,12
1757643763.002422,12
1757643763.4057038,12
1757643764.0025642,13
1757643764.2729719,12
1757643764.5912576,13
1757643764.8606036,12
1757643765.2800567,13
1757643765.5857847,13
1757643765.8773816,13
1757643766.0405004,13
1757643766.207606,13
1757643766.3752017,13
1757643766.6255734,13
1757643766.8151011,13
1757643767.175193,13
1757643767.3871908,13
1757643767.5876942,12
1757643767.8864617,12
1757643768.0809815,12
1757643768.3280046,12
1757643768.5080726,12
1757643768.6721945,13
1757643768.8602784,13
1757643769.1321828,13
1757643769.5072129,13
1757643769.6857524,13
1757643769.9036775,13
1757643770.165526,13
1757643770.362712,13
1757643770.5532198,13
1757643770.8063924,13
1757643771.215418,13
1757643771.4631097,13
1757643771.7041638,13
1757643771.9481077,13
1757643772.168322,13
1757643772.4494116,13
1757643772.6308544,13
1757643772.9381623,13
1757643773.4111536,13
1757643773.5862317,13
1757643773.7892265,13
1757643774.009206,13
1757643774.26211,13
1757643774.5459936,13
1757643774.9061692,13
1757643775.4089673,13
1757643775.6673503,13
1757643775.8720443,13
1757643776.1659465,13
1757643776.394897,13
1757643776.6622398,14
1757643776.9490666,14
1757643777.3159199,14
1757643777.5332017,14
1757643777.8394878,14
1757643778.0464933,14
1757643778.3638823,14
1757643778.8234413,14
1757643779.071411,14
1757643779.4440522,14
1757643780.0570643,14
1757643780.3257477,14
1757643780.6648204,14
1757643781.0195503,13
1757643782.0726078,13
1757643782.2696643,13
1757643782.4393415,14
1757643782.601968,13
1757643782.7820156,13
1757643783.0020065,14
1757643783.3033297,14
1757643783.8335698,14
1757643784.350271,14
1757643784.5969012,15
1757643785.0783682,15
1757643785.2529943,15
1757643785.4365752,15
1757643785.6370392,15
1757643785.80361,15
1757643785.9681692,15
1757643786.1494606,15
1757643786.3841584,15
1757643786.6261547,15
1757643786.9201639,15
1757643787.2668839,16
1757643787.6639462,16
1757643787.8529477,16
1757643788.084411,16
1757643788.4624684,16
1757643788.655514,16
1757643789.1594422,15
1757643789.3326812,15
1757643789.503361,15
1757643789.6744142,15
1757643790.3094792,15
1757643790.833785,15
1757643791.091588,14
1757643791.4460776,13
1757643791.863999,14
1757643792.1547694,14
1757643792.453033,13
1757643792.6989732,14
1757643792.941873,13
1757643793.2022228,14
1757643793.4546015,14
1757643793.7828164,12
1757643794.0352573,13
1757643794.2966483,12
1757643794.4822962,13
1757643794.6678214,13
1757643794.8658206,13
1757643795.1541338,13
1757643795.4903631,13
1757643795.8425581,13
1757643796.1613302,13
1757643796.4950044,13
1757643796.7992558,13
1757643797.0411623,13
1757643797.3329508,13
1757643797.5833175,12
1757643797.8063269,12
1757643798.0931404,12
1757643798.419979,12
1757643798.6649122,12
1757643798.886418,13
1757643799.2006648,13
1757643799.4156165,13
1757643799.7158854,13
1757643800.195489,13
1757643800.5267756,13
1757643800.8344612,13
1757643801.0528972,13
1757643801.3526256,13
1757643801.6823378,13
1757643801.9689186,14
1757643802.2960725,13
1757643802.5404162,13
1757643802.9934273,13
1757643803.2977908,15
1757643803.6956553,14
1757643803.9685009,14
1757643804.2747185,14
1757643804.5431104,14
1757643804.8247128,14
1757643805.0280664,13
1757643805.260086,14
1757643805.5152926,14
1757643805.7567282,13
1757643806.1128767,13
1757643806.5153224,13
1757643806.759058,13
1757643806.9869754,14
1757643807.3662684,14
1757643807.6665094,14
1757643807.9903672,14
1757643808.2716713,14
1757643808.5232513,14
1757643808.7636483,14
1757643809.018589,14
1757643809.2683122,12
1757643809.5157013,12
1757643809.792695,12
1757643810.0385134,12
1757643810.3369634,12
1757643810.5976517,12
1757643810.7827787,12
1757643811.0367146,12
1757643811.2861,12
1757643811.5258842,12
1757643811.8026557,13
1757643812.074995,13
1757643812.3255107,13
1757643812.5547862,13
1757643812.8767738,13
1757643813.152572,12
1757643813.438392,12
1757643813.687783,11
1757643813.9741905,12
1757643814.2795055,12
1757643814.5684037,12
1757643814.8012903,13
1757643815.0761442,15
1757643815.3724418,14
1757643815.744545,14
1757643816.0562766,14
1757643816.410446,15
1757643816.6124926,15
1757643816.8329449,15
1757643817.054458,15
1757643817.3134017,15
1757643817.5343926,15
1757643817.8921409,15
1757643818.1953719,15
1757643818.4457922,15
1757643818.7255547,15
1757643819.0499275,15
1757643819.3308682,15
1757643819.6048272,15
1757643819.824495,15
1757643820.064171,15
1757643820.3954973,15
1757643820.6515772,15
1757643820.9619982,15
1757643821.265089,15
1757643821.591414,15
1757643821.8539813,15
1757643822.043457,15
1757643822.3227682,15
1757643822.6556869,15
1757643823.0257587,15
1757643823.3057392,16
1757643823.568279,16
1757643823.8477726,16
1757643824.1706743,16
1757643824.481206,16
1757643824.7911365,16
1757643825.09677,16
1757643825.3935223,17
1757643825.6678932,17
1757643825.8943257,17
1757643826.129243,15
1757643826.3970742,16
1757643826.6210556,16
1757643826.8569722,16
1757643827.1158447,16
1757643827.3742611,16
1757643827.625704,15
1757643827.8082771,16
1757643828.0596838,16
1757643828.4035318,16
1757643828.7366958,16
1757643828.9625995,15
1757643829.183565,15
1757643829.5382497,16
1757643829.7666564,16
1757643829.9990354,15
1757643830.387499,15
1757643830.698736,15
1757643831.0074677,14
1757643831.3084948,14
1757643831.6221786,14
1757643831.9471643,13
1757643832.1861985,13
1757643832.6316447,13
1757643833.0917957,13
1757643833.544694,12
1757643833.8678062,12
1757643834.2404704,13
1757643834.897108,14
1757643835.225827,13
1757643835.537076,12
1757643836.086563,14
1757643837.5968196,14
1757643838.8976746,15
1757643841.0747297,14
1757643843.0420039,14
1757643843.928472,15
1757643844.9402437,15
1757643845.2089489,15
1757643845.7416806,15
1757643846.80816,16
1757643847.3115118,16
1757643847.5917785,16
1757643848.2072065,15
1757643849.2144012,15
1757643849.4559548,15
1757643852.1063404,15
1757643854.2724516,15
1757643856.5575266,15
1757643858.1519723,15
1757643860.081576,15
1757643862.287275,16
1757643864.6864064,16
1757643867.0038662,14
1757643867.9255097,14
1757643868.4839883,15
1757643868.6660109,14
1757643868.846528,14
1757643870.4635196,15
1757643871.8890958,15
1757643873.5491934,15
1757643875.5944014,14
1757643876.2780256,14
1757643876.5504398,13
1757643876.7911773,14
1757643877.0543103,14
1757643877.2667787,14
1757643878.4208188,14
1757643879.8028655,15
1757643880.2352664,15
1757643880.9663472,15
1757643881.4885392,15
1757643882.060099,14
1757643882.949711,14
1757643883.9604309,14
1757643884.5623662,15
1757643885.105226,15
1757643885.8003857,15
1757643886.3685584,15
1757643886.77858,15
1757643888.982881,15
1757643889.9397802,15
1757643890.350513,15
1757643890.9710093,15
1757643891.9299452,13
1757643892.6131942,13
1757643893.15461,13
1757643894.286562,13
